Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-04-12,13162,8.5,1985,25,13,328,728,1,327,346
1503960366,2016-04-13,10735,6.9699997901916504,1797,21,19,217,776,2,384,407
1503960366,2016-04-15,9762,6.2800002098083496,1745,29,34,209,726,1,412,442
1503960366,2016-04-16,12669,8.1599998474121094,1863,36,10,221,773,2,340,367
1503960366,2016-04-17,9705,6.4800000190734863,1728,38,20,164,539,1,700,712
1503960366,2016-04-19,15506,9.880000114440918,2035,50,31,264,775,1,304,320
1503960366,2016-04-20,10544,6.679999828338623,1786,28,12,205,818,1,360,377
1503960366,2016-04-21,9819,6.3400001525878906,1775,19,8,211,838,1,325,364
1503960366,2016-04-23,14371,9.0399999618530273,1949,41,21,262,732,1,361,384
1503960366,2016-04-24,10039,6.4099998474121094,1788,39,5,238,709,1,430,449
1503960366,2016-04-25,15355,9.8000001907348633,2013,73,14,216,814,1,277,323
1503960366,2016-04-26,13755,8.7899999618530273,1970,31,23,279,833,1,245,274
1503960366,2016-04-28,13154,8.5299997329711914,1898,48,28,189,782,1,366,393
1503960366,2016-04-29,11181,7.1500000953674316,1837,16,12,243,815,1,341,354
1503960366,2016-04-30,14673,9.25,1947,52,34,217,712,1,404,425
1503960366,2016-05-01,10602,6.809999942779541,1820,33,35,246,730,1,369,396
1503960366,2016-05-02,14727,9.7100000381469727,2004,41,15,277,798,1,277,309
1503960366,2016-05-03,15103,9.6599998474121094,1990,50,24,254,816,1,273,296
1503960366,2016-05-05,14070,8.8999996185302734,1959,45,24,250,857,1,247,264
1503960366,2016-05-06,12159,8.0299997329711914,1896,24,6,289,754,1,334,367
1503960366,2016-05-07,11992,7.7100000381469727,1821,37,46,175,833,1,331,349
1503960366,2016-05-08,10060,6.5799999237060547,1740,44,8,203,574,1,594,611
1503960366,2016-05-09,12022,7.7199997901916504,1819,46,11,206,835,1,338,342
1503960366,2016-05-10,12207,7.7699999809265137,1859,46,31,214,746,1,383,403
1503960366,2016-05-11,12770,8.130000114440918,1783,36,23,251,669,1,285,306
1644430081,2016-04-29,3176,2.309999942779541,2498,0,0,120,1193,1,119,127
1644430081,2016-04-30,18213,13.239999771118164,3846,9,71,402,816,1,124,142
1644430081,2016-05-02,3758,2.7300000190734863,2580,1,7,148,682,1,796,961
1644430081,2016-05-08,6724,4.8899998664855957,2987,0,0,295,991,1,137,154
1844505072,2016-04-15,3844,2.5399999618530273,1725,0,0,176,527,1,644,961
1844505072,2016-04-30,4014,2.6700000762939453,1763,0,0,184,218,1,722,961
1844505072,2016-05-01,2573,1.7000000476837158,1541,0,7,75,585,1,590,961
1927972279,2016-04-12,678,0.4699999988079071,2220,0,0,55,734,3,750,775
1927972279,2016-04-13,356,0.25,2151,0,0,32,986,1,398,422
1927972279,2016-04-15,980,0.68000000715255737,2221,0,0,51,941,2,475,499
1927972279,2016-04-26,3761,2.5999999046325684,2638,0,0,192,1058,1,296,315
1927972279,2016-04-28,1675,1.1599999666213989,2351,0,0,95,1167,1,166,178
2026352035,2016-04-12,4414,2.7400000095367432,1459,3,8,181,706,1,503,546
2026352035,2016-04-13,4993,3.0999999046325684,1521,0,0,238,663,1,531,565
2026352035,2016-04-14,3335,2.0699999332427979,1431,0,0,197,653,1,545,568
2026352035,2016-04-15,3821,2.369999885559082,1444,0,0,188,687,1,523,573
2026352035,2016-04-16,2547,1.5800000429153442,1373,0,0,150,728,1,524,567
2026352035,2016-04-17,838,0.51999998092651367,1214,0,0,60,1053,1,437,498
2026352035,2016-04-19,2424,1.5,1356,0,0,141,785,1,498,540
2026352035,2016-04-20,7222,4.4800000190734863,1667,0,0,327,623,1,461,510
2026352035,2016-04-21,2467,1.5299999713897705,1370,0,0,153,749,1,477,514
2026352035,2016-04-22,2915,1.809999942779541,1399,0,0,162,712,1,520,545
2026352035,2016-04-23,12357,7.7100000381469727,1916,0,0,432,458,1,522,554
2026352035,2016-04-24,3490,2.1600000858306885,1401,0,0,164,704,1,555,591
2026352035,2016-04-25,6017,3.7300000190734863,1576,0,0,260,821,1,506,531
2026352035,2016-04-27,6088,3.7699999809265137,1593,0,0,286,586,1,508,545
2026352035,2016-04-28,6375,3.9500000476837158,1649,0,0,331,626,1,513,545
2026352035,2016-04-29,7604,4.7100000381469727,1692,0,0,352,492,1,490,510
2026352035,2016-04-30,4729,2.9300000667572021,1506,0,0,233,594,1,573,607
2026352035,2016-05-01,3609,2.2799999713897705,1447,0,0,191,716,1,527,546
2026352035,2016-05-02,7018,4.3499999046325684,1690,0,0,355,716,1,511,543
2026352035,2016-05-04,6564,4.070000171661377,1658,0,0,345,530,1,538,560
2026352035,2016-05-05,12167,7.5399999618530273,1926,0,0,475,479,1,468,485
2026352035,2016-05-06,8198,5.0799999237060547,1736,0,0,383,511,1,524,548
2026352035,2016-05-07,4193,2.5999999046325684,1491,0,0,229,665,1,511,521
2026352035,2016-05-08,5528,3.4500000476837158,1555,0,0,258,610,1,541,568
2026352035,2016-05-09,10685,6.619999885559082,1869,0,0,401,543,1,531,556
2026352035,2016-05-10,254,0.15999999642372131,1141,0,0,17,1002,1,357,380
2026352035,2016-05-11,8580,5.320000171661377,1698,0,0,330,569,1,523,553
2026352035,2016-05-12,8891,5.5100002288818359,1364,0,0,343,330,1,456,485
2320127002,2016-04-23,5079,3.4200000762939453,1804,0,0,242,1129,1,61,69
2347167796,2016-04-13,10352,7.0100002288818359,2038,19,32,195,676,1,467,531
2347167796,2016-04-14,10129,6.6999998092651367,2010,1,48,206,705,1,445,489
2347167796,2016-04-15,10465,6.9200000762939453,2133,1,24,284,720,1,452,504
2347167796,2016-04-17,5472,3.619999885559082,1882,1,7,249,508,1,556,602
2347167796,2016-04-18,8247,5.4499998092651367,1944,11,16,206,678,1,500,557
2347167796,2016-04-19,6711,4.440000057220459,2346,0,7,382,648,1,465,514
2347167796,2016-04-21,10080,6.75,2048,23,26,208,761,1,460,484
2347167796,2016-04-22,7804,5.1599998474121094,1946,9,27,206,781,1,405,461
2347167796,2016-04-23,16901,11.369999885559082,2629,32,35,360,591,1,374,386
2347167796,2016-04-24,9471,6.2600002288818359,2187,0,0,360,584,1,442,459
2347167796,2016-04-25,9482,6.380000114440918,2095,15,11,277,653,1,433,471
2347167796,2016-04-26,5980,3.9500000476837158,1861,0,0,227,732,1,436,490
2347167796,2016-04-27,11423,7.5799999237060547,2194,26,9,295,623,1,448,499
2347167796,2016-04-28,5439,3.5999999046325684,1854,0,0,229,764,1,408,450
2347167796,2016-04-29,42,2.9999999329447746E-2,403,0,0,4,2,1,411,473
3977333714,2016-04-12,8856,5.9800000190734863,1450,44,19,131,777,1,274,469
3977333714,2016-04-13,10035,6.7100000381469727,1495,31,46,153,754,2,295,456
3977333714,2016-04-14,7641,5.1100001335144043,1433,5,23,214,801,1,291,397
3977333714,2016-04-15,9010,6.059999942779541,1468,15,42,183,644,1,424,556
3977333714,2016-04-16,13459,9,1625,31,83,153,663,1,283,510
3977333714,2016-04-17,10415,6.9699997901916504,1529,11,58,205,600,1,381,566
3977333714,2016-04-18,11663,7.8000001907348633,1584,4,95,214,605,2,412,522
3977333714,2016-04-19,12414,8.7799997329711914,1638,19,67,221,738,1,219,395
3977333714,2016-04-20,11658,7.8299999237060547,1554,2,98,164,845,2,152,305
3977333714,2016-04-21,6093,4.0799999237060547,1397,0,0,242,712,1,332,512
3977333714,2016-04-22,8911,5.9600000381469727,1481,33,12,188,731,1,355,476
3977333714,2016-04-23,12058,8.0699996948242188,1638,0,92,252,724,1,235,372
3977333714,2016-04-24,14112,10,1655,30,95,129,660,1,310,526
3977333714,2016-04-25,11177,8.4799995422363281,1570,50,9,133,781,1,262,467
3977333714,2016-04-26,11388,7.619999885559082,1551,7,95,170,797,1,250,371
3977333714,2016-04-27,7193,5.0399999618530273,1377,0,10,176,714,1,349,540
3977333714,2016-04-28,7114,4.880000114440918,1407,15,8,190,804,1,261,423
3977333714,2016-04-29,10645,7.75,1545,36,32,150,744,1,333,478
3977333714,2016-04-30,13238,9.1999998092651367,1650,43,52,194,687,1,237,382
3977333714,2016-05-01,10414,7.070000171661377,1501,41,40,124,691,1,383,626
3977333714,2016-05-02,16520,11.050000190734863,1760,24,143,176,713,1,230,384
3977333714,2016-05-03,14335,9.5900001525878906,1710,47,41,258,594,1,292,500
3977333714,2016-05-04,13559,9.4399995803833008,1628,14,96,142,852,1,213,336
3977333714,2016-05-05,12312,8.5799999237060547,1618,14,88,178,680,1,318,480
3977333714,2016-05-06,11677,8.2799997329711914,1590,29,55,168,676,1,323,512
3977333714,2016-05-07,11550,7.7300000190734863,1574,0,86,208,703,1,237,443
3977333714,2016-05-08,13585,9.0900001525878906,1633,9,116,171,688,2,259,456
3977333714,2016-05-10,13072,8.7799997329711914,1630,1,115,196,676,1,312,452
4020332650,2016-04-12,8539,6.119999885559082,3654,4,15,331,712,1,501,541
4020332650,2016-04-16,1982,1.4199999570846558,3051,65,21,55,1222,1,77,77
4020332650,2016-05-03,4496,3.2200000286102295,2828,0,0,174,950,1,322,332
4020332650,2016-05-04,10252,7.3499999046325684,3879,13,46,346,531,1,478,536
4020332650,2016-05-05,11728,8.4300003051757813,3429,38,42,196,916,1,226,248
4020332650,2016-05-06,4369,3.130000114440918,2704,0,0,177,855,1,385,408
4020332650,2016-05-08,5862,4.1999998092651367,3089,0,0,263,775,1,364,402
4020332650,2016-05-10,5546,3.9800000190734863,2926,0,0,206,774,1,442,494
4319703577,2016-04-14,10210,6.880000114440918,2302,1,9,339,589,1,535,557
4319703577,2016-04-15,5664,3.7999999523162842,1985,0,0,228,752,1,465,491
4319703577,2016-04-16,4744,3.1800000667572021,1884,0,0,194,724,1,506,522
4319703577,2016-04-18,2276,1.5499999523162842,1632,1,9,58,824,1,515,551
4319703577,2016-04-19,8925,5.9899997711181641,2200,0,0,311,604,2,461,498
4319703577,2016-04-20,8954,6.0100002288818359,2220,0,18,306,671,1,523,543
4319703577,2016-04-21,3702,2.4800000190734863,1792,0,0,34,1265,1,59,65
4319703577,2016-04-22,4500,3.0199999809265137,1886,1,19,176,709,1,533,550
4319703577,2016-04-23,4935,3.309999942779541,1945,0,0,233,546,1,692,722
4319703577,2016-04-24,4081,2.7400000095367432,1880,1,5,191,692,1,467,501
4319703577,2016-04-25,9259,6.2100000381469727,2314,0,8,390,544,1,488,506
4319703577,2016-04-26,9899,6.6399998664855957,2236,8,21,288,649,1,505,516
4319703577,2016-04-27,10780,7.2300000190734863,2324,6,47,300,680,1,286,307
4319703577,2016-04-28,10817,7.2800002098083496,2367,13,8,359,552,1,497,522
4319703577,2016-04-29,7990,5.3600001335144043,2175,6,18,289,624,1,523,546
4319703577,2016-04-30,8221,5.5199999809265137,2092,6,38,196,695,1,490,516
4319703577,2016-05-01,1251,0.8399999737739563,1593,0,0,67,836,1,484,500
4319703577,2016-05-02,9261,6.2399997711181641,2270,0,11,344,585,1,478,506
4319703577,2016-05-03,9648,6.4699997901916504,2235,8,26,287,669,1,474,512
4319703577,2016-05-06,9524,6.4200000762939453,2266,6,11,314,692,1,450,491
